Technology;Value;;Unit;Source;Updated at;Updated by
RES_Roundwood;101;;Years;Assumed (not effective);05.09.2023;Stian Backe <stian.backe@sintef.no>
RES_Wind_Offshore_Deep;30;;Years;Energy Agency Denmark (2020);17.10.2023;Dana Reulein <dana.reulein@sintef.no>
RES_Wind_Offshore_Shallow;30;;Years;Energy Agency Denmark (2020);17.10.2023;Dana Reulein <dana.reulein@sintef.no>
RES_Wind_Offshore_Transitional;30;;Years;Energy Agency Denmark (2020);17.10.2023;Dana Reulein <dana.reulein@sintef.no>
RES_Wind_Onshore_Avg;27;;Years;Energy Agency Denmark (2020);17.10.2023;Dana Reulein <dana.reulein@sintef.no>
RES_Wind_Onshore_Inf;27;;Years;Energy Agency Denmark (2020);17.10.2023;Dana Reulein <dana.reulein@sintef.no>
RES_Wind_Onshore_Opt;27;;Years;Energy Agency Denmark (2020);17.10.2023;Dana Reulein <dana.reulein@sintef.no>
RES_Wood;101;;Years;Assumed (not effective);05.09.2023;Stian Backe <stian.backe@sintef.no>
X_Biofuel;31;;Years;;;
X_DAC;21;;Years;;;
X_DAC_HT;21;;Years;;;
X_DAC_LT;21;;Years;;;
X_Electrolysis;31;;Years;;;
X_Fuel_Cell;31;;Years;;;
X_Gasifier;41;;Years;;;
X_Liquifier;41;;Years;;;
X_Methanation;30;;Years;Methanation;;
X_Powerfuel;21;;Years;;;
X_SMR;21;;Years;;;
X_SMR_CCS;21;;Years;;;
Z_ETS_Buy;101;;Years;Assumed (not effective);05.09.2023;Stian Backe <stian.backe@sintef.no>
Z_ETS_Sell;101;;Years;Assumed (not effective);05.09.2023;Stian Backe <stian.backe@sintef.no>
Z_Import_Electricity;101;;Years;Assumed (not effective);05.09.2023;Stian Backe <stian.backe@sintef.no>
Z_Import_H2;101;;Years;Assumed (not effective);05.09.2023;Stian Backe <stian.backe@sintef.no>
X_Alkaline_Electrolysis;10;;Years;;;
X_PEM_Electrolysis;10;;Years;;;
X_SOEC_Electrolysis;5;;Years;;;
